Date,Topics
2021-05-10,Lecture 1 - Introduction to Database
2021-05-10,Lecture 2 - Entity-Relatioship Diagram 1
2021-05-10,Lecture 3 - Entity-Relatioship Diagram 2
2021-05-10,Quiz 1
2021-05-10,Quiz 2
2021-05-17,Lecture 4 - Enhanced ERD
2021-05-17,Lecture 5 - Relational model
2021-05-17,Lecture 6 - Normalization
2021-05-17,Quiz 3
2021-05-17,Quiz 4
2021-05-17,Assignment 1
2021-05-24,Lecture 7 - Introduction to SQL
2021-05-24,Lecture 8 - Filtering output
2021-05-24,Assignment 1 - Answer Key
2021-05-24,Quiz 5
2021-05-24,Quiz 6
2021-05-24,SDW tutorial 1
2021-05-24,SDW tutorial 2
2021-05-24,SDW tutorial 3
2021-06-07,Lecture 9 - Data definition and manipulation language (DDL&DML)
2021-06-07,Quiz 7
2021-06-07,Assignment 2
2021-06-07,SDW tutorial 4
2021-06-14,Lecture 10 - Joining multiple tables
2021-06-14,Lecture 12 - Group data
2021-06-14,Quiz 8
2021-06-14,Quiz 9
2021-06-14,Quiz 10
2021-06-21,Lecture 13 - Subquery
2021-06-21,Quiz 11
2021-06-21,Quiz 12
2021-06-21,Assignment 3
2021-06-21,Lockdown Browser Setup
2021-06-21,Mock exam for final
2021-06-28,Final exam
